Table 1,,,,,,,
id,english,german,,,,,
COPYRIGHT,To make use of this service you must be more than 18 years old or have received permission from your parents or a person who is authorized to pay your bill. VIPgames.me works in accordance with the international best practices for mobile payments and digital goods. Copyright © 2015.,"Um diesen Service nutzen zu können, musst du mindestens 18 Jahre alt sein oder die Erlaubnis von deinen Eltern erhalten haben oder einer Person, die dazu berechtigt ist, deine Rechnung zu bezahlen. VIPgames.me funktioniert in Übereinstimmung mit den international bewährten Vorgehensweisen für mobile Zahlungen und digitale Waren. Copyright © 2015.",,,,,
LOAD_MORE,Load More,Mehr laden,,,,,
SIMILAR_GAMES,Similar Games,Ähnliche Spiele,,,,,
BACK,Back,Zurück,,,,,
PLAY_NOW,Play Now!,Jetzt spielen!,,,,,
DESCRIPTION,Description,Beschreibung,,,,,
EDITORS,Editor's,Editor,,,,,
CHOICE,Choice,Auswahl,,,,,
ACCESS_DENIED,Access Denied,Zugriff verweigert,,,,,
ACCESS_DENIED_DESCRIPTION,You are not authorized to access this page.,"Du bist nicht autorisiert, um auf diese Seite zugreifen zu können.",,,,,
CATEGORY,Category,Kategorie,,,,,
ACTION,Action,Action,,,,,
ARCADE,Arcade,Arkade,,,,,
RACING,Racing,Rennen,,,,,
CARD,Card,Karten,,,,,
BRAIN,Brain,Denkspiele,,,,,
STRATEGY,Strategy,Strategie,,,,,
SETTINGS,Settings,Einstellungen,,,,,
FAQ,FAQ,FAQ,,,,,
LANGUAGE_OPTIONS,Language Options,Sprachoptionen,,,,,
GENERAL_TERMS_AND_CONDITIONS,Terms of Service,Servicebedingungen,,,,,
PRIVACY_POLICY,Privacy Policy,Datenschutzrichtlinie,,,,,
FREQUENTLY_ASKED_QUESTIONS,Frequently Asked Questions,Häufig gestellte Fragen,,,,,
CONTACT_US,Contact us,Kontakt,,,,,
FULL_NAME,Full Name,Vollständiger Name,,,,,
EMAIL_ADDRESS,Email Address,E-Mail-Adresse,,,,,
MOBILE_NUMBER,Mobile Number,Handynummer,,,,,
ENTER_YOUR_ENQUIRY,Enter your enquiry,Gib deine Anfrage ein,,,,,
SUBMIT,Submit,Senden,,,,,
UNSUBSCRIBE,Unsubscribe,Abmelden,,,,,
YES,Yes,Ja,,,,,
NO,No,Nein,,,,,
UNSUBSCRIBE_CONFIRM,Are you sure you want to unsubscribe from VIPgames?,"Bist du sicher, dass du dich bei VIPgames abmelden möchtest?",,,,,
UNSUBSCRIBE_SUCCESS,You successfully unsubscribed from the service,Du hast dich von diesem Service erfolgreich abgemeldet,,,,,
INVALID_ENTRY,Invalid entry,Ungültiger Eintrag,,,,,
LANGUAGES,Languages,Sprachen ,,,,,
INVALID_NUMBER,The number you have entered is not subscribed to the service.,*Die eingegebene Nummer hat diesen Service nicht abonniert. ,,,,,
CLICK_ON_LINK,Please click on the link received by SMS to access VIPGames,"Bitte klicke auf den Link, den du per SMS erhalten hast, um auf VIPGames zuzugreifen",,,,,
ALREADY_REGISTERED,Already Registered?,Bereits registriert?,,,,,
ENTER_MOBILE_NUMBER,Enter your mobile number to login,"Gib deine Handynummer ein, um dich anzumelden",,,,,
LOGIN,Login,Anmelden,,,,,
SELECT_OPERATOR,Select Operator,Betreiber auswählen,,,,,
SUBMITTED_SUCCESSFULLY,Thank you! Your enquiry has been successfully submitted to us.,Danke! Deine Anfrage wurde erfolgreich an uns gesendet.,,,,,
