ar,,,,,,,
id,english,Arabic,,,,,
COPYRIGHT,To make use of this service you must be more than 18 years old or have received permission from your parents or a person who is authorized to pay your bill. VIPgames.me works in accordance with the international best practices for mobile payments and digital goods. Copyright © 2015.,لكي تتمكن من استخدام هذه الخدمة يجب عليك أن يكون سنك أكبر من 18 عاما أو أن يكون لديك إذن من والديك أو الشخص الوصي عليك بأنك مخول بدفع الفاتورة الموجهة إليك. إن VIPgames.me تعمل وفقا لأفضل التجارب العالمية والموثوقة من حيث وسائل الدفع عبر الأجهزة المحمولة للحصول على السلع والخدمات الرقمية الإلكترونية. جميع الحقوق محفوظة © 2015.,,,,,
LOAD_MORE,Load More,تحميل المزيد,,,,,
SIMILAR_GAMES,Similar Games,ألعاب مشابهة,,,,,
BACK,Back,إلى الخلف,,,,,
PLAY_NOW,Play Now!,العب الآن!,,,,,
DESCRIPTION,Description,الشرح,,,,,
EDITORS,Editor's,المحررين,,,,,
CHOICE,Choice,اختيارات,,,,,
ACCESS_DENIED,Access Denied,تم رفض الوصول,,,,,
ACCESS_DENIED_DESCRIPTION,You are not authorized to access this page.,أنت غير مصرح لك بالوصول إلى هذه الصفحة.,,,,,
CATEGORY,Category,الفئة,,,,,
ACTION,Action,أكشن,,,,,
ARCADE,Arcade,أركيد,,,,,
RACING,Racing,السباق,,,,,
CARD,Card,الورق,,,,,
BRAIN,Brain,الذكاء,,,,,
STRATEGY,Strategy,الاستراتيجيات,,,,,
SETTINGS,Settings,الضوابط,,,,,
FAQ,FAQ,الأسئلة الشائعة,,,,,
LANGUAGE_OPTIONS,Language Options,خيارات اللغة,,,,,
GENERAL_TERMS_AND_CONDITIONS,Terms of Service,الأحكام والشروط,,,,,
PRIVACY_POLICY,Privacy Policy,سياسة الخصوصية,,,,,
FREQUENTLY_ASKED_QUESTIONS,Frequently Asked Questions,الأسئلة الشائعة,,,,,
CONTACT_US,Contact us,اتصل بنا,,,,,
FULL_NAME,Full Name,الاسم الكامل,,,,,
EMAIL_ADDRESS,Email Address,البريد الإلكتروني,,,,,
MOBILE_NUMBER,Mobile Number,رقم الهاتف المحمول,,,,,
ENTER_YOUR_ENQUIRY,Enter your enquiry,أدخل سؤالك/استفسارك,,,,,
SUBMIT,Submit,تقديم,,,,,
UNSUBSCRIBE,Unsubscribe,إلغاء الاشتراك,,,,,
YES,Yes,نعم,,,,,
NO,No,لا,,,,,
UNSUBSCRIBE_CONFIRM,Are you sure you want to unsubscribe from VIPgames?,هل أنت متأكد من أنك تريد إلغاء الاشتراك مع VIPgames؟,,,,,
UNSUBSCRIBE_SUCCESS,You successfully unsubscribed from the service,لقد تم بنجاح إلغاء اشتراكك بهذه الخدمة,,,,,
INVALID_ENTRY,Invalid entry,الإدخال غير صحيح,,,,,
LANGUAGES,Languages,اللغات,,,,,
INVALID_NUMBER,The number you have entered is not subscribed to the service.,* الرقم الذي أدخلته غير مسجل لدينا كمشترك في هذه الخدمة.,,,,,
CLICK_ON_LINK,Please click on the link received by SMS to access VIPGames,الرجاء الضغط على الرابط الذي استلمته في الرسالة القصيرة لكي تتمكن من الوصول إلى VIPgames,,,,,
ALREADY_REGISTERED,Already Registered?,هل أنت فعلا مسجل؟,,,,,
ENTER_MOBILE_NUMBER,Enter your mobile number to login,أدخل رقم الهاتف المحمول لكي تدخل,,,,,
LOGIN,Login,الدخول,,,,,
SELECT_OPERATOR,Select Operator,اختر شبكة المشغل,,,,,
SUBMITTED_SUCCESSFULLY,Thank you! Your enquiry has been successfully submitted to us.,شكرا لك! لقد تم تقديم سؤالك/استفسارك بنجاح ووصل إلى طرفنا.,,,,,
